Time,Unemployed persons
1991-01-31,763321.6342
1991-02-28,807546.6346
1991-03-31,818667.6259
1991-04-30,849493.4822
1991-05-31,805407.9362
1991-06-30,757682.9427
1991-07-31,797379.07
1991-08-31,796614.4527
1991-09-30,854132.2661
1991-10-31,789031.7782
1991-11-30,806171.3059
1991-12-31,906003.6808
1992-01-31,948552.3267999999
1992-02-29,982766.7093
1992-03-31,935272.2071
1992-04-30,894588.3631000001
1992-05-31,901690.0915
1992-06-30,894791.6715
1992-07-31,904773.9405
1992-08-31,886237.5365
1992-09-30,910346.127
1992-10-31,893743.9917
1992-11-30,888238.2838
1992-12-31,969202.417
1993-01-31,998921.8324
1993-02-28,1039332.3803000001
1993-03-31,972360.6533
1993-04-30,920874.0118
1993-05-31,915407.29
1993-06-30,911184.4007
1993-07-31,885170.2863
1993-08-31,909499.7134
1993-09-30,927444.6442
1993-10-31,892594.4961
1993-11-30,892882.3594000001
1993-12-31,939282.7591
1994-01-31,983463.2370000001
1994-02-28,1005079.581
1994-03-31,945000.6625
1994-04-30,876426.4531
1994-05-31,844441.9787000001
1994-06-30,828612.4326000001
1994-07-31,798735.2938999999
1994-08-31,796098.5107999999
1994-09-30,829323.8282
1994-10-31,750942.6261999999
1994-11-30,755044.1625
1994-12-31,791015.9059
1995-01-31,836355.7256
1995-02-28,873726.8519
1995-03-31,804056.4894000001
1995-04-30,737776.0684
1995-05-31,750830.7972
1995-06-30,723459.2261
1995-07-31,708794.7423
1995-08-31,718945.2359
1995-09-30,756767.4555
1995-10-31,725747.5482999999
1995-11-30,719942.9847
1995-12-31,736036.7399
1996-01-31,817714.7073
1996-02-29,839721.8402
1996-03-31,799197.0913
1996-04-30,782174.3214
1996-05-31,758056.9203
1996-06-30,723809.9243000001
1996-07-31,727322.3828
1996-08-31,763632.8692
1996-09-30,785366.8098
1996-10-31,751867.3334
1996-11-30,722859.4813
1996-12-31,786889.1190000001
1997-01-31,833121.7712
1997-02-28,886858.6258
1997-03-31,823724.7357999999
1997-04-30,785112.5851
1997-05-31,774946.9481
1997-06-30,735209.2682
1997-07-31,731421.0941999999
1997-08-31,743432.9501
1997-09-30,744672.3833
1997-10-31,692065.9114
1997-11-30,690770.9965
1997-12-31,720463.6632000001
1998-01-31,770069.9041
1998-02-28,794682.0360000001
1998-03-31,757876.6510000001
1998-04-30,702906.8089
1998-05-31,711195.3804
1998-06-30,702784.079
1998-07-31,686717.6799999999
1998-08-31,690220.3426
1998-09-30,716070.3934
1998-10-31,640418.7194
1998-11-30,665349.6727
1998-12-31,659091.475
1999-01-31,702528.1191
1999-02-28,735769.0122
1999-03-31,683544.8656
1999-04-30,652779.3847
1999-05-31,649018.6814
1999-06-30,600573.4614
1999-07-31,575481.4913999999
1999-08-31,619694.8093
1999-09-30,668821.2084
1999-10-31,600300.2602
1999-11-30,565695.7448000001
1999-12-31,625715.0635
2000-01-31,674754.3041000001
2000-02-29,699238.1039000001
2000-03-31,652837.6317
2000-04-30,612157.4974999999
2000-05-31,607304.3193
2000-06-30,564324.5278
2000-07-31,525575.0458999999
2000-08-31,556138.1076
2000-09-30,578095.5765
2000-10-31,541093.4644
2000-11-30,557373.1459
2000-12-31,592152.7919000001
2001-01-31,625737.7819
2001-02-28,700364.2790999999
2001-03-31,650197.4321
2001-04-30,663626.9367999999
2001-05-31,664228.7742
2001-06-30,651512.4036
2001-07-31,611867.0512
