Time,Production
1946-01-31,48157.0
1946-02-28,47343.0
1946-03-31,54558.0
1946-04-30,52539.0
1946-05-31,62822.0
1946-06-30,59763.0
1946-07-31,66896.0
1946-08-31,65773.0
1946-09-30,61740.0
1946-10-31,64091.0
1946-11-30,57617.0
1946-12-31,54962.0
1947-01-31,52594.0
1947-02-28,51534.0
1947-03-31,57949.0
1947-04-30,60277.0
1947-05-31,65705.0
1947-06-30,69414.0
1947-07-31,76206.0
1947-08-31,75438.0
1947-09-30,72992.0
1947-10-31,71005.0
1947-11-30,63382.0
1947-12-31,63604.0
1948-01-31,57267.0
1948-02-29,53094.0
1948-03-31,59013.0
1948-04-30,68328.0
1948-05-31,69446.0
1948-06-30,79616.0
1948-07-31,83248.0
1948-08-31,81611.0
1948-09-30,72697.0
1948-10-31,69851.0
1948-11-30,67469.0
1948-12-31,60145.0
1949-01-31,50021.0
1949-02-28,44402.0
1949-03-31,64800.0
1949-04-30,66109.0
1949-05-31,78684.0
1949-06-30,81743.0
1949-07-31,85116.0
1949-08-31,88926.0
1949-09-30,73233.0
1949-10-31,62118.0
1949-11-30,65627.0
1949-12-31,63691.0
1950-01-31,51903.0
1950-02-28,48229.0
1950-03-31,65277.0
1950-04-30,72060.0
1950-05-31,78129.0
1950-06-30,86639.0
1950-07-31,79779.0
1950-08-31,71855.0
1950-09-30,65127.0
1950-10-31,70505.0
1950-11-30,64414.0
1950-12-31,55453.0
1951-01-31,51844.0
1951-02-28,52235.0
1951-03-31,68555.0
1951-04-30,77493.0
1951-05-31,82648.0
1951-06-30,81152.0
1951-07-31,88785.0
1951-08-31,88962.0
1951-09-30,67050.0
1951-10-31,67459.0
1951-11-30,64195.0
1951-12-31,61304.0
1952-01-31,54389.0
1952-02-29,52821.0
1952-03-31,80188.0
1952-04-30,82475.0
1952-05-31,89349.0
1952-06-30,91413.0
1952-07-31,96395.0
1952-08-31,90876.0
1952-09-30,77061.0
1952-10-31,73710.0
1952-11-30,77197.0
1952-12-31,79475.0
1953-01-31,57422.0
1953-02-28,62663.0
1953-03-31,81852.0
1953-04-30,86107.0
1953-05-31,88276.0
1953-06-30,97745.0
1953-07-31,98482.0
1953-08-31,90076.0
1953-09-30,77484.0
1953-10-31,73165.0
1953-11-30,82784.0
1953-12-31,79452.0
1954-01-31,58490.0
1954-02-28,51853.0
1954-03-31,83316.0
1954-04-30,86780.0
1954-05-31,95436.0
1954-06-30,96741.0
1954-07-31,90999.0
1954-08-31,94736.0
1954-09-30,73697.0
