Time,Sales
1964-01-31,2815.0
1964-02-29,2672.0
1964-03-31,2755.0
1964-04-30,2721.0
1964-05-31,2946.0
1964-06-30,3036.0
1964-07-31,2282.0
1964-08-31,2212.0
1964-09-30,2922.0
1964-10-31,4301.0
1964-11-30,5764.0
1964-12-31,7312.0
1965-01-31,2541.0
1965-02-28,2475.0
1965-03-31,3031.0
1965-04-30,3266.0
1965-05-31,3776.0
1965-06-30,3230.0
1965-07-31,3028.0
1965-08-31,1759.0
1965-09-30,3595.0
1965-10-31,4474.0
1965-11-30,6838.0
1965-12-31,8357.0
1966-01-31,3113.0
1966-02-28,3006.0
1966-03-31,4047.0
1966-04-30,3523.0
1966-05-31,3937.0
1966-06-30,3986.0
1966-07-31,3260.0
1966-08-31,1573.0
1966-09-30,3528.0
1966-10-31,5211.0
1966-11-30,7614.0
1966-12-31,9254.0
1967-01-31,5375.0
1967-02-28,3088.0
1967-03-31,3718.0
1967-04-30,4514.0
1967-05-31,4520.0
1967-06-30,4539.0
1967-07-31,3663.0
1967-08-31,1643.0
1967-09-30,4739.0
1967-10-31,5428.0
1967-11-30,8314.0
1967-12-31,10651.0
1968-01-31,3633.0
1968-02-29,4292.0
1968-03-31,4154.0
1968-04-30,4121.0
1968-05-31,4647.0
1968-06-30,4753.0
1968-07-31,3965.0
1968-08-31,1723.0
1968-09-30,5048.0
1968-10-31,6922.0
1968-11-30,9858.0
1968-12-31,11331.0
1969-01-31,4016.0
1969-02-28,3957.0
1969-03-31,4510.0
1969-04-30,4276.0
1969-05-31,4968.0
1969-06-30,4677.0
1969-07-31,3523.0
1969-08-31,1821.0
1969-09-30,5222.0
1969-10-31,6872.0
1969-11-30,10803.0
1969-12-31,13916.0
1970-01-31,2639.0
1970-02-28,2899.0
1970-03-31,3370.0
1970-04-30,3740.0
1970-05-31,2927.0
1970-06-30,3986.0
1970-07-31,4217.0
1970-08-31,1738.0
1970-09-30,5221.0
1970-10-31,6424.0
1970-11-30,9842.0
1970-12-31,13076.0
1971-01-31,3934.0
1971-02-28,3162.0
1971-03-31,4286.0
1971-04-30,4676.0
1971-05-31,5010.0
1971-06-30,4874.0
1971-07-31,4633.0
1971-08-31,1659.0
1971-09-30,5951.0
1971-10-31,6981.0
1971-11-30,9851.0
1971-12-31,12670.0
1972-01-31,4348.0
1972-02-29,3564.0
1972-03-31,4577.0
1972-04-30,4788.0
1972-05-31,4618.0
1972-06-30,5312.0
1972-07-31,4298.0
1972-08-31,1413.0
1972-09-30,5877.0
