Time,PM2.5,Dew Point,Temperature,Pressure
2010-01-01 00:00:00,,-21,-11.0,1021.0
2010-01-01 01:00:00,,-21,-12.0,1020.0
2010-01-01 02:00:00,,-21,-11.0,1019.0
2010-01-01 03:00:00,,-21,-14.0,1019.0
2010-01-01 04:00:00,,-20,-12.0,1018.0
2010-01-01 05:00:00,,-19,-10.0,1017.0
2010-01-01 06:00:00,,-19,-9.0,1017.0
2010-01-01 07:00:00,,-19,-9.0,1017.0
2010-01-01 08:00:00,,-19,-9.0,1017.0
2010-01-01 09:00:00,,-20,-8.0,1017.0
2010-01-01 10:00:00,,-19,-7.0,1017.0
2010-01-01 11:00:00,,-18,-5.0,1017.0
2010-01-01 12:00:00,,-19,-5.0,1015.0
2010-01-01 13:00:00,,-18,-3.0,1015.0
2010-01-01 14:00:00,,-18,-2.0,1014.0
2010-01-01 15:00:00,,-18,-1.0,1014.0
2010-01-01 16:00:00,,-19,-2.0,1015.0
2010-01-01 17:00:00,,-18,-3.0,1015.0
2010-01-01 18:00:00,,-18,-5.0,1016.0
2010-01-01 19:00:00,,-17,-4.0,1017.0
2010-01-01 20:00:00,,-17,-5.0,1017.0
2010-01-01 21:00:00,,-17,-5.0,1018.0
2010-01-01 22:00:00,,-17,-5.0,1018.0
2010-01-01 23:00:00,,-17,-5.0,1020.0
2010-01-02 00:00:00,129.0,-16,-4.0,1020.0
2010-01-02 01:00:00,148.0,-15,-4.0,1020.0
2010-01-02 02:00:00,159.0,-11,-5.0,1021.0
2010-01-02 03:00:00,181.0,-7,-5.0,1022.0
2010-01-02 04:00:00,138.0,-7,-5.0,1022.0
2010-01-02 05:00:00,109.0,-7,-6.0,1022.0
2010-01-02 06:00:00,105.0,-7,-6.0,1023.0
2010-01-02 07:00:00,124.0,-7,-5.0,1024.0
2010-01-02 08:00:00,120.0,-8,-6.0,1024.0
2010-01-02 09:00:00,132.0,-7,-5.0,1025.0
2010-01-02 10:00:00,140.0,-7,-5.0,1026.0
2010-01-02 11:00:00,152.0,-8,-5.0,1026.0
2010-01-02 12:00:00,148.0,-8,-5.0,1026.0
2010-01-02 13:00:00,164.0,-8,-5.0,1025.0
2010-01-02 14:00:00,158.0,-9,-5.0,1025.0
2010-01-02 15:00:00,154.0,-9,-5.0,1025.0
2010-01-02 16:00:00,159.0,-9,-5.0,1026.0
2010-01-02 17:00:00,164.0,-8,-5.0,1027.0
2010-01-02 18:00:00,170.0,-8,-5.0,1027.0
2010-01-02 19:00:00,149.0,-8,-5.0,1028.0
2010-01-02 20:00:00,154.0,-7,-5.0,1028.0
2010-01-02 21:00:00,164.0,-7,-5.0,1027.0
2010-01-02 22:00:00,156.0,-8,-6.0,1028.0
2010-01-02 23:00:00,126.0,-8,-6.0,1027.0
2010-01-03 00:00:00,90.0,-7,-6.0,1027.0
2010-01-03 01:00:00,63.0,-8,-6.0,1026.0
2010-01-03 02:00:00,65.0,-8,-7.0,1026.0
2010-01-03 03:00:00,55.0,-8,-7.0,1025.0
2010-01-03 04:00:00,65.0,-8,-7.0,1024.0
2010-01-03 05:00:00,83.0,-9,-8.0,1024.0
2010-01-03 06:00:00,91.0,-10,-8.0,1024.0
2010-01-03 07:00:00,86.0,-10,-9.0,1024.0
2010-01-03 08:00:00,82.0,-10,-9.0,1024.0
2010-01-03 09:00:00,86.0,-11,-9.0,1023.0
2010-01-03 10:00:00,78.0,-11,-9.0,1023.0
2010-01-03 11:00:00,98.0,-11,-9.0,1022.0
2010-01-03 12:00:00,107.0,-11,-9.0,1021.0
2010-01-03 13:00:00,90.0,-11,-9.0,1020.0
2010-01-03 14:00:00,96.0,-11,-9.0,1020.0
2010-01-03 15:00:00,95.0,-11,-9.0,1020.0
2010-01-03 16:00:00,86.0,-11,-9.0,1020.0
2010-01-03 17:00:00,70.0,-11,-9.0,1020.0
2010-01-03 18:00:00,61.0,-11,-9.0,1021.0
2010-01-03 19:00:00,53.0,-11,-9.0,1022.0
2010-01-03 20:00:00,71.0,-10,-9.0,1022.0
2010-01-03 21:00:00,72.0,-11,-10.0,1023.0
2010-01-03 22:00:00,76.0,-11,-9.0,1023.0
2010-01-03 23:00:00,73.0,-12,-11.0,1023.0
2010-01-04 00:00:00,79.0,-14,-12.0,1023.0
2010-01-04 01:00:00,58.0,-16,-9.0,1023.0
2010-01-04 02:00:00,25.0,-17,-10.0,1024.0
2010-01-04 03:00:00,26.0,-18,-11.0,1024.0
2010-01-04 04:00:00,28.0,-19,-11.0,1025.0
2010-01-04 05:00:00,26.0,-20,-12.0,1026.0
2010-01-04 06:00:00,20.0,-21,-12.0,1027.0
2010-01-04 07:00:00,29.0,-21,-13.0,1027.0
2010-01-04 08:00:00,26.0,-22,-13.0,1028.0
2010-01-04 09:00:00,27.0,-22,-13.0,1029.0
2010-01-04 10:00:00,27.0,-22,-12.0,1030.0
2010-01-04 11:00:00,25.0,-23,-12.0,1031.0
2010-01-04 12:00:00,29.0,-21,-11.0,1030.0
