Time,Weight
2020-02-01,85.06
2020-02-02,85.57
2020-02-03,84.66
2020-02-04,84.93
2020-02-05,85.16
2020-02-06,82.98
2020-02-07,82.45
2020-02-08,83.51
2020-02-09,84.29
2020-02-10,83.21
2020-02-11,83.77
2020-02-12,84.48
2020-02-13,84.6
2020-02-14,85.43
2020-02-15,84.12
2020-02-16,84.27
2020-02-17,84.27
2020-02-18,85.42
2020-02-19,87.01
2020-02-20,86.4
2020-02-21,85.42
2020-02-22,85.03
2020-02-23,85.53
2020-02-24,84.1
2020-02-25,86.11
2020-02-26,87.49
2020-02-27,88.11
2020-02-28,87.55
2020-02-29,87.76
2020-03-01,87.28
2020-03-02,84.92
2020-03-03,86.14
2020-03-04,85.92
2020-03-05,83.4
2020-03-06,81.77
2020-03-07,83.43
2020-03-08,86.0
2020-03-09,87.32
2020-03-10,86.64
2020-03-11,87.2
2020-03-12,86.15
2020-03-13,85.81
2020-03-14,85.06
2020-03-15,84.15
2020-03-16,84.81
2020-03-17,85.29
2020-03-18,85.49
2020-03-19,86.24
2020-03-20,86.63
2020-03-21,86.71
2020-03-22,87.94
2020-03-23,85.55
2020-03-24,84.9
2020-03-25,85.58
2020-03-26,84.4
2020-03-27,84.61
2020-03-28,83.5
2020-03-29,83.68
2020-03-30,85.19
2020-03-31,85.25
2020-04-01,87.99
2020-04-02,88.74
2020-04-03,87.78
2020-04-04,87.04
2020-04-05,86.65
2020-04-06,85.87
2020-04-07,86.44
2020-04-08,86.5
2020-04-09,85.64
2020-04-10,88.2
2020-04-11,89.31
2020-04-12,88.95
2020-04-13,89.83
2020-04-14,89.58
2020-04-15,89.28
2020-04-16,89.22
2020-04-17,87.34
2020-04-18,87.32
2020-04-19,88.25
2020-04-20,87.53
2020-04-21,85.84
2020-04-22,85.07
2020-04-23,82.76
2020-04-24,81.73
2020-04-25,81.71
2020-04-26,83.71
2020-04-27,84.61
2020-04-28,82.24
2020-04-29,83.8
2020-04-30,84.38
2020-05-01,84.21
2020-05-02,84.95
2020-05-03,85.22
2020-05-04,85.03
2020-05-05,85.92
2020-05-06,86.91
2020-05-07,86.05
2020-05-08,85.73
2020-05-09,84.86
2020-05-10,84.89
2020-05-11,86.14
2020-05-12,86.73
2020-05-13,87.35
2020-05-14,87.09
2020-05-15,88.32
2020-05-16,88.38
2020-05-17,87.39
2020-05-18,87.18
2020-05-19,86.69
2020-05-20,86.5
2020-05-21,88.18
2020-05-22,89.08
2020-05-23,86.36
2020-05-24,85.52
2020-05-25,84.35
2020-05-26,84.79
2020-05-27,87.08
2020-05-28,86.39
2020-05-29,86.67
2020-05-30,86.82
2020-05-31,86.68
2020-06-01,88.66
2020-06-02,88.25
2020-06-03,86.14
2020-06-04,86.73
2020-06-05,87.52
2020-06-06,87.74
2020-06-07,88.76
2020-06-08,87.8
2020-06-09,85.11
2020-06-10,85.89
2020-06-11,86.21
2020-06-12,84.21
2020-06-13,83.33
2020-06-14,84.59
2020-06-15,85.61
2020-06-16,85.56
2020-06-17,86.85
2020-06-18,86.18
2020-06-19,84.66
2020-06-20,83.93
2020-06-21,82.99
2020-06-22,82.9
2020-06-23,82.64
2020-06-24,82.84
2020-06-25,83.2
2020-06-26,83.25
2020-06-27,84.59
2020-06-28,86.39
2020-06-29,88.3
2020-06-30,88.35
2020-07-01,88.03
2020-07-02,87.45
2020-07-03,87.92
2020-07-04,89.72
2020-07-05,88.66
2020-07-06,88.59
2020-07-07,88.47
2020-07-08,87.36
2020-07-09,87.59
2020-07-10,86.87
2020-07-11,87.48
2020-07-12,86.21
2020-07-13,84.61
2020-07-14,85.12
2020-07-15,84.02
2020-07-16,84.43
2020-07-17,83.59
2020-07-18,83.26
2020-07-19,82.92
2020-07-20,82.44
2020-07-21,84.12
2020-07-22,86.57
2020-07-23,88.41
2020-07-24,89.51
2020-07-25,89.76
2020-07-26,90.9
2020-07-27,90.94
2020-07-28,89.09
2020-07-29,87.76
2020-07-30,87.05
2020-07-31,88.46
2020-08-01,87.48
2020-08-02,86.54
2020-08-03,86.2
2020-08-04,85.64
2020-08-05,85.17
2020-08-06,83.79
2020-08-07,85.25
2020-08-08,84.24
2020-08-09,82.36
2020-08-10,83.95
2020-08-11,85.23
2020-08-12,85.57
2020-08-13,85.12
2020-08-14,85.54
2020-08-15,85.42
2020-08-16,86.36
2020-08-17,86.3
2020-08-18,84.87
2020-08-19,84.63
2020-08-20,84.96
2020-08-21,86.5
2020-08-22,88.48
2020-08-23,88.03
2020-08-24,85.95
2020-08-25,84.44
2020-08-26,86.64
2020-08-27,87.16
2020-08-28,86.59
2020-08-29,89.26
2020-08-30,88.41
2020-08-31,87.34
2020-09-01,87.01
2020-09-02,85.42
2020-09-03,86.22
2020-09-04,87.79
2020-09-05,85.72
2020-09-06,86.08
2020-09-07,86.92
2020-09-08,86.28
2020-09-09,87.03
2020-09-10,85.46
2020-09-11,84.94
2020-09-12,84.46
2020-09-13,86.22
2020-09-14,89.5
2020-09-15,89.17
2020-09-16,87.46
2020-09-17,88.25
2020-09-18,88.47
2020-09-19,89.31
2020-09-20,91.82
2020-09-21,92.68
2020-09-22,91.75
2020-09-23,89.47
2020-09-24,88.3
2020-09-25,87.75
2020-09-26,86.65
2020-09-27,87.43
2020-09-28,88.66
2020-09-29,88.02
2020-09-30,87.51
2020-10-01,87.88
2020-10-02,89.42
2020-10-03,87.27
2020-10-04,86.48
2020-10-05,87.04
2020-10-06,85.61
2020-10-07,85.51
2020-10-08,85.77
2020-10-09,87.89
2020-10-10,88.38
2020-10-11,87.24
2020-10-12,86.11
2020-10-13,86.54
2020-10-14,86.44
2020-10-15,85.66
2020-10-16,86.99
2020-10-17,87.06
2020-10-18,86.56
2020-10-19,86.38
2020-10-20,87.38
2020-10-21,87.59
2020-10-22,87.45
2020-10-23,88.05
2020-10-24,87.53
2020-10-25,87.6
2020-10-26,87.46
2020-10-27,88.22
2020-10-28,89.09
2020-10-29,86.77
2020-10-30,86.07
2020-10-31,87.71
2020-11-01,87.5
2020-11-02,86.7
2020-11-03,87.81
2020-11-04,86.96
2020-11-05,86.32
2020-11-06,87.55
2020-11-07,88.21
2020-11-08,87.27
2020-11-09,85.41
2020-11-10,87.15
2020-11-11,86.98
2020-11-12,86.07
2020-11-13,89.19
2020-11-14,88.99
2020-11-15,85.73
2020-11-16,88.48
2020-11-17,90.62
2020-11-18,89.67
2020-11-19,92.52
2020-11-20,92.35
2020-11-21,92.23
2020-11-22,92.39
2020-11-23,90.58
2020-11-24,90.87
2020-11-25,91.23
2020-11-26,91.97
2020-11-27,92.65
2020-11-28,91.41
2020-11-29,90.26
2020-11-30,91.91
2020-12-01,92.26
2020-12-02,91.21
2020-12-03,92.07
2020-12-04,93.05
2020-12-05,93.51
2020-12-06,92.2
2020-12-07,90.55
2020-12-08,90.89
2020-12-09,91.63
2020-12-10,89.89
2020-12-11,88.33
2020-12-12,88.23
2020-12-13,88.78
2020-12-14,87.9
2020-12-15,89.73
2020-12-16,90.93
2020-12-17,89.9
2020-12-18,92.54
2020-12-19,92.65
2020-12-20,92.35
2020-12-21,91.73
2020-12-22,91.15
2020-12-23,89.8
2020-12-24,88.66
2020-12-25,88.85
2020-12-26,87.36
2020-12-27,88.08
2020-12-28,89.01
2020-12-29,86.58
2020-12-30,86.97
2020-12-31,86.89
2021-01-01,86.66
2021-01-02,86.76
2021-01-03,85.75
2021-01-04,86.81
2021-01-05,88.85
2021-01-06,87.76
2021-01-07,86.33
2021-01-08,86.84
2021-01-09,87.57
2021-01-10,87.94
2021-01-11,87.76
2021-01-12,89.55
2021-01-13,90.19
2021-01-14,89.4
2021-01-15,88.47
2021-01-16,88.07
2021-01-17,88.04
2021-01-18,87.19
2021-01-19,86.79
2021-01-20,87.76
2021-01-21,87.3
2021-01-22,86.61
2021-01-23,87.1
2021-01-24,88.11
2021-01-25,86.86
2021-01-26,85.36
2021-01-27,87.17
2021-01-28,87.66
2021-01-29,86.14
2021-01-30,86.39
